CPU Info,Memory Info,N,Elapsed Time,Fibonacci
2,2,20,0.0026209354400634766,6765
2,2,21,0.005390644073486328,10946
2,2,22,0.01230478286743164,17711
2,2,23,0.013346672058105469,28657
2,2,24,0.022260427474975586,46368
2,2,25,0.030391931533813477,75025
2,2,26,0.05058455467224121,121393
2,2,27,0.08095526695251465,196418
2,2,28,0.1338651180267334,317811
2,2,29,0.21696138381958008,514229
2,2,30,0.3493614196777344,832040
2,2,31,0.5667781829833984,1346269
2,2,32,0.90152907371521,2178309
2,2,33,1.5298383235931396,3524578
2,2,34,2.5638747215270996,5702887
2,2,35,3.984133720397949,9227465
2,2,36,8.13272762298584,14930352
3,2,20,0.007439136505126953,6765
3,2,21,0.007848739624023438,10946
3,2,22,0.011071205139160156,17711
3,2,23,0.015304088592529297,28657
3,2,24,0.020323991775512695,46368
3,2,25,0.03147745132446289,75025
3,2,26,0.05477714538574219,121393
3,2,27,0.08126592636108398,196418
3,2,28,0.13102245330810547,317811
3,2,29,0.21401429176330566,514229
3,2,30,0.3626980781555176,832040
3,2,31,0.609987735748291,1346269
3,2,32,0.9419825077056885,2178309
3,2,33,1.9204764366149902,3524578
3,2,34,2.519533395767212,5702887
3,2,35,4.154346227645874,9227465
3,2,36,8.219155311584473,14930352
4,2,20,0.004181861877441406,6765
4,2,21,0.00909566879272461,10946
4,2,22,0.011190652847290039,17711
4,2,23,0.013296127319335938,28657
4,2,24,0.019361019134521484,46368
4,2,25,0.03090810775756836,75025
4,2,26,0.0736539363861084,121393
4,2,27,0.08737659454345703,196418
4,2,28,0.15776681900024414,317811
4,2,29,0.25467920303344727,514229
4,2,30,0.3473846912384033,832040
4,2,31,0.5578744411468506,1346269
4,2,32,0.950411319732666,2178309
4,2,33,1.4940013885498047,3524578
4,2,34,2.647081136703491,5702887
4,2,35,4.0940728187561035,9227465
4,2,36,8.048959732055664,14930352
4,1.5,20,0.003473997116088867,6765
4,1.5,21,0.010689973831176758,10946
4,1.5,22,0.00741124153137207,17711
4,1.5,23,0.012234210968017578,28657
4,1.5,24,0.021564245223999023,46368
4,1.5,25,0.03046417236328125,75025
4,1.5,26,0.04840588569641113,121393
4,1.5,27,0.08254837989807129,196418
4,1.5,28,0.12987351417541504,317811
4,1.5,29,0.21436381340026855,514229
4,1.5,30,0.3469278812408447,832040
4,1.5,31,0.5875551700592041,1346269
4,1.5,32,0.9286942481994629,2178309
4,1.5,33,1.5634582042694092,3524578
4,1.5,34,2.6279304027557373,5702887
4,1.5,35,5.238523721694946,9227465
4,1.5,36,6.963512897491455,14930352
4,0.5,20,0.0034227371215820312,6765
4,0.5,21,0.006490945816040039,10946
4,0.5,22,0.011844635009765625,17711
4,0.5,23,0.013206958770751953,28657
4,0.5,24,0.020421266555786133,46368
4,0.5,25,0.03350400924682617,75025
4,0.5,26,0.04975557327270508,121393
4,0.5,27,0.07953262329101562,196418
4,0.5,28,0.13155579566955566,317811
4,0.5,29,0.23155999183654785,514229
4,0.5,30,0.3395092487335205,832040
4,0.5,31,0.5483360290527344,1346269
4,0.5,32,0.9137060642242432,2178309
4,0.5,33,1.5836968421936035,3524578
4,0.5,34,2.573580741882324,5702887
4,0.5,35,4.192298173904419,9227465
4,0.5,36,7.984105348587036,14930352
1,0.5,20,0.0026879310607910156,6765
1,0.5,21,0.005555629730224609,10946
1,0.5,22,0.009658098220825195,17711
1,0.5,23,0.10488677024841309,28657
1,0.5,24,0.02095198631286621,46368
1,0.5,25,0.03753948211669922,75025
1,0.5,26,0.06501293182373047,121393
1,0.5,27,0.12281250953674316,196418
1,0.5,28,0.1302793025970459,317811
1,0.5,29,0.2563743591308594,514229
1,0.5,30,0.3535115718841553,832040
1,0.5,31,0.6601474285125732,1346269
1,0.5,32,0.9521763324737549,2178309
1,0.5,33,2.068769931793213,3524578
1,0.5,34,2.819920778274536,5702887
1,0.5,35,4.456694602966309,9227465
1,0.5,36,7.322664499282837,14930352
1,0.1,20,0.0043947696685791016,6765
1,0.1,21,0.010793209075927734,10946
1,0.1,22,0.01113271713256836,17711
1,0.1,23,0.014476299285888672,28657
1,0.1,24,0.02145242691040039,46368
1,0.1,25,0.03238344192504883,75025
1,0.1,26,0.05768156051635742,121393
1,0.1,27,0.08838391304016113,196418
1,0.1,28,0.13758301734924316,317811
1,0.1,29,0.242584228515625,514229
1,0.1,30,0.4054088592529297,832040
1,0.1,31,0.593036413192749,1346269
1,0.1,32,1.2393321990966797,2178309
1,0.1,33,1.7205541133880615,3524578
1,0.1,34,2.801985502243042,5702887
1,0.1,35,4.4881415367126465,9227465
1,0.1,36,7.157342910766602,14930352
