cpu_info,memory_info,cpu_clock_frequency,DAYS,number_of_data,elapsed_time
4,8,2.8,6,1000,41.47947669029236
4,8,2.8,6,2000,40.152116537094116
4,8,2.8,6,3000,42.688318490982056
4,8,2.8,6,4000,41.86558651924133
4,8,2.8,6,5000,43.093016386032104
4,8,2.8,6,6000,44.0363130569458
4,8,2.8,6,7000,46.3026978969574
4,8,2.8,6,8000,47.158149003982544
4,8,2.8,6,9000,49.09986090660095
4,8,2.8,6,10000,48.28142046928406
4,8,2.8,6,11000,47.39634323120117
4,8,2.8,6,12000,48.67214846611023
4,8,2.8,6,13000,48.693636417388916
4,8,2.8,6,14000,49.38892674446106
4,8,2.8,6,15000,49.73358702659607
4,8,2.8,6,16000,50.62755465507507
4,8,2.8,6,17000,51.256864070892334
