number_of_data,predicted_execution_time
100,1.8306977
200,2.1152
300,2.4156013
400,2.7160048
500,3.016406
600,3.3169003
700,3.6175046
800,3.91811
900,4.226308
1000,4.549377
1100,4.877968
1200,5.2066703
1300,5.535373
1400,5.8640733
1500,6.216098
1600,6.572685
1700,6.929274
1800,7.2858605
1900,7.6495233
2000,8.030174
2100,8.423118
2200,8.82036
2300,9.245065
2400,9.694394
2500,10.143727
2600,10.59306
2700,11.042389
2800,11.493894
2900,11.982582
3000,12.506555
3100,13.030524
3200,13.554494
3300,14.0784645
3400,14.602438
3500,15.126403
3600,15.652823
3700,16.194742
3800,16.748764
3900,17.302856
4000,17.8272
4100,18.350208
4200,18.873217
4300,19.396223
4400,19.938278
4500,20.49206
4600,21.045832
4700,21.599611
4800,22.153387
4900,22.707159
5000,23.260935
5100,23.814066
5200,24.36494
5300,24.915815
5400,25.46669
5500,26.017567
5600,26.568447
5700,27.119314
5800,27.670198
5900,28.240736
6000,28.817873
6100,29.394999
6200,29.972126
6300,30.54906
6400,31.112791
6500,31.676521
6600,32.240253
6700,32.80398
6800,33.367718
6900,33.931446
7000,34.495174
7100,35.05891
7200,35.622635
7300,36.18637
7400,36.750107
7500,37.31383
7600,37.881424
7700,38.46269
7800,39.043972
7900,39.65657
8000,40.26916
8100,40.881763
8200,41.494358
8300,42.08287
8400,42.665382
8500,43.247887
8600,43.8304
8700,44.414764
8800,45.009956
8900,45.60516
9000,46.20036
9100,46.775566
9200,47.334984
9300,47.89577
9400,48.474274
9500,49.052773
9600,49.63127
9700,50.209763
9800,50.78826
9900,51.36676
10000,51.958828
10100,52.576595
10200,53.197002
10300,53.825478
10400,54.445534
10500,55.036133
10600,55.64258
10700,56.249012
10800,56.855427
10900,57.472343
11000,58.095806
11100,58.719257
11200,59.342712
11300,59.96616
11400,60.60413
11500,61.2623
11600,61.922817
11700,62.58333
11800,63.243855
11900,63.90436
12000,64.56489
12100,65.2254
12200,65.885925
12300,66.55344
12400,67.22987
12500,67.90632
12600,68.582756
12700,69.2592
12800,69.935646
12900,70.61209
13000,71.28853
13100,71.96497
13200,72.65621
13300,73.35115
13400,74.04609
13500,74.74105
13600,75.436005
13700,76.13095
13800,76.82589
13900,77.520836
14000,78.227165
14100,78.9335
14200,79.63984
14300,80.346176
14400,81.05252
14500,81.758835
14600,82.41687
14700,83.062485
14800,83.7081
14900,84.35371
15000,84.99932
15100,85.64812
15200,86.30576
15300,86.96343
15400,87.62108
15500,88.27873
15600,88.9364
15700,89.594055
15800,90.25171
15900,90.90936
16000,91.56704
16100,92.224686
16200,92.88235
16300,93.540016
16400,94.19741
16500,94.85721
16600,95.517
16700,96.176796
16800,96.840324
16900,97.513985
17000,98.194916
17100,98.87584
17200,99.556755
17300,100.237686
17400,100.918594
17500,101.599525
